ensembl_gene_id	external_gene_id	affy_chicken	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
1	ENSGALG00000000003	PANX2	GgaAffx.23849.1.S1_at	135.907381768313	1.30481938021882	0.388423114804907	3.35927325250506	0.000781477533623951	0.407682753459337
2	ENSGALG00000000003	PANX2	Gga.14853.1.S1_at	135.907381768313	1.30481938021882	0.388423114804907	3.35927325250506	0.000781477533623951	0.407682753459337
3	ENSGALG00000000004	RFK	Gga.19197.1.S1_s_at	456.154437649898	0.214320776039292	0.409444255435814	0.523443113913439	0.600665928031799	0.944018275267834
4	ENSGALG00000000004	RFK	GgaAffx.11465.1.S1_at	456.154437649898	0.214320776039292	0.409444255435814	0.523443113913439	0.600665928031799	0.944018275267834
5	ENSGALG00000000011	C10orf88	GgaAffx.17.1.S1_at	115.402628171721	0.247506700067065	0.350346230907635	0.706463144832055	0.479900164388909	0.944018275267834
6	ENSGALG00000000013	DUSP11	Gga.9124.1.S1_at	61.3971681845574	-0.56848418650629	0.396495083393924	-1.43377360859098	0.151636878611608	0.91490018130167
7	ENSGALG00000000017		GgaAffx.27.1.S1_at	1.59000872058065	0.234515385904724	0.343038273422261	0.683642042519402	0.494201229595507	0.944018275267834
8	ENSGALG00000000019	AAK1	GgaAffx.30.1.S1_at	26.0688025827258	-0.199620204841167	0.391953744954264	-0.509295312038568	0.610545243418821	0.944018275267834
9	ENSGALG00000000019	AAK1	GgaAffx.30.2.S1_s_at	26.0688025827258	-0.199620204841167	0.391953744954264	-0.509295312038568	0.610545243418821	0.944018275267834
10	ENSGALG00000000033	NFU1	Gga.12168.1.S1_s_at	170.761139726379	-0.496612724895494	0.34954076038477	-1.42075769460714	0.155387213386301	0.91490018130167
11	ENSGALG00000000033	NFU1	GgaAffx.13222.1.S1_at	170.761139726379	-0.496612724895494	0.34954076038477	-1.42075769460714	0.155387213386301	0.91490018130167
12	ENSGALG00000000040	FAM195A	Gga.8178.1.S1_at	0.397858393471095	-0.0333510540599401	0.223366953260562	-0.149310601112222	0.881308550564033	0.977591751110863
13	ENSGALG00000000040	FAM195A	Gga.15226.1.S1_s_at	0.397858393471095	-0.0333510540599401	0.223366953260562	-0.149310601112222	0.881308550564033	0.977591751110863
14	ENSGALG00000000041	GNAI3	Gga.1134.1.S1_at	1258.30497744207	-0.367195590835972	0.284688468489051	-1.28981547016926	0.197114735311927	0.915353872271584
15	ENSGALG00000000041	GNAI3	Gga.1134.1.S2_at	1258.30497744207	-0.367195590835972	0.284688468489051	-1.28981547016926	0.197114735311927	0.915353872271584
16	ENSGALG00000000043	USF1	GgaAffx.250.2.S1_at	1.84125992763699	-0.172846055418007	0.398906892468025	-0.433299245216381	0.664797386405789	0.944018275267834
17	ENSGALG00000000044	WFIKKN1	GgaAffx.47.1.S1_at	1.32022600392698	0.207786365586979	0.371707675445687	0.559004775292406	0.576158461177597	0.944018275267834
18	ENSGALG00000000048		GgaAffx.50.1.S1_at	1.08439832099893	0.166476949806573	0.31128346528238	0.534808200157866	0.592782492124577	0.944018275267834
19	ENSGALG00000000049	CSDC2	Gga.9779.1.S1_at	9.12959237221143	0.0930746197273994	0.43840808990304	0.212301328079927	0.831871959388931	0.969950497284521
20	ENSGALG00000000054	OAT	Gga.12529.1.S1_at	8493.29909648972	-0.484163816320681	0.261249116023615	-1.85326489784913	0.0638443997925488	0.91490018130167
21	ENSGALG00000000054	OAT	GgaAffx.12708.1.S1_s_at	8493.29909648972	-0.484163816320681	0.261249116023615	-1.85326489784913	0.0638443997925488	0.91490018130167
22	ENSGALG00000000055	LAMTOR3	Gga.4355.2.S1_s_at	195.63747900306	-0.567867440436435	0.338522726923908	-1.67748690197713	0.0934473086179299	0.91490018130167
